"Family","Genus","Species","Taxon","Common Name","Native Status","effectm partm of this plant.","Lifeform","Duration","July High Temp","Dec Low Temp","Temp Range","Lower Elevation","Upper Elevation","Start Bloom Month","End Bloom Month","Calrecnum"
"ASTERACEAE","Chamaemelum","nobile","Chamaemelum nobile","Russian chamomile","non-native","","Perennial herb","Perennial","","","","","","","","1918"
"IRIDACEAE","Chasmanthe","floribunda","Chasmanthe floribunda","Chasmanthe","non-native invasive","","Perennial herb","Perennial","88","40","44","0","1250","2","5","1951"
"CHENOPODIACEAE","Chenopodium","album","Chenopodium album","Lambs quarters","non-native","","Annual herb","Annual","99","10","65","0","2780","6","10","1962"
"CHENOPODIACEAE","Chenopodium","atrovirens","Chenopodium atrovirens","Dark green goosefoot","native","","Annual herb","Annual","88","12","64","1190","3280","7","9","1965"
"CHENOPODIACEAE","Chenopodium","berlandieri","Chenopodium berlandieri","Pit seed goosefoot","native","","Annual herb","Annual","99","16","64","0","2280","7","8","1966"
"CHENOPODIACEAE","Chenopodium","berlandieri","Chenopodium berlandieri var. sinuatum","Pitseed goosefoot","native","","Annual herb","Annual","93","36","56","0","1810","7","8","11500"
"CHENOPODIACEAE","Chenopodium","berlandieri","Chenopodium berlandieri var. zschackei","Pit seed goosefoot","native","","Annual herb","Annual","91","14","65","15","2130","7","8","10529"
"CHENOPODIACEAE","Chenopodium","californicum","Chenopodium californicum","California goosefoot","native","","Perennial herb","Perennial","96","30","61","0","1700","3","6","1968"
"CHENOPODIACEAE","Chenopodium","desiccatum","Chenopodium desiccatum","Dry goosefoot","native","","Annual herb","Annual","96","12","63","310","2990","7","9","1972"
"CHENOPODIACEAE","Chenopodium","fremontii","Chenopodium fremontii","Fremont's goosefoot","native","","Annual herb","Annual","96","16","67","1040","2740","6","10","1974"
"CHENOPODIACEAE","Chenopodium","glaucum","Chenopodium glaucum","Oak leaved goosefoot","native","","Annual herb","Annual","88","20","60","0","2030","7","10","1975"
"CHENOPODIACEAE","Chenopodium","littoreum","Chenopodium littoreum","Coastal goosefoot","rare","","Annual herb","Annual","69","42","27","10","120","4","8","11243"
"CHENOPODIACEAE","Chenopodium","macrospermum","Chenopodium macrospermum","Largeseed goosefoot","non-native","","Annual herb","Annual","90","38","54","0","250","7","10","9069"
"CHENOPODIACEAE","Chenopodium","missouriense","Chenopodium missouriense","Missouri lambsquarters","non-native","","Annual herb","Annual","89","28","55","65","2280","9","10","1981"
"CHENOPODIACEAE","Chenopodium","murale","Chenopodium murale","Nettle leaf goosefoot","non-native","","Annual herb","Annual","104","30","63","0","1990","1","12","1983"
"CHENOPODIACEAE","Chenopodium","pratericola","Chenopodium pratericola","Meadow goosefoot","native","","Annual herb","Annual","91","10","67","100","2710","6","9","1986"
"CHENOPODIACEAE","Chenopodium","rubrum","Chenopodium rubrum","Red goosefoot","native","","Annual herb","Annual","96","24","66","0","1980","8","9","1988"
"CHENOPODIACEAE","Chenopodium","strictum","Chenopodium strictum","Lateflowering goosefoot","non-native","","Annual herb","Annual","91","28","52","0","2280","8","10","10814"
"CHENOPODIACEAE","Chenopodium","strictum","Chenopodium strictum var. glaucophyllum","White leaved goosefoot","non-native","","Annual herb","Annual","89","28","52","0","2280","8","10","1990"
"CHENOPODIACEAE","Chenopodium","vulvaria","Chenopodium vulvaria","Stinking goosefoot","non-native","","Annual herb","Annual","94","34","58","5","1060","6","10","1991"
"ASTERACEAE","Chloracantha","spinosa","Chloracantha spinosa","Spiny chloracantha","native","","Perennial herb","Perennial","106","40","64","-71","350","5","12","9804"
"POACEAE","Chloris","gayana","Chloris gayana","Rhodes grass","non-native","","Perennial grass","Perennial","69","44","23","10","65","8","9","1996"
"POACEAE","Chloris","virgata","Chloris virgata","Feather finger grass","non-native","","Annual grass","Annual","97","32","64","5","1740","4","9","1998"
"AGAVACEAE","Chlorogalum","pomeridianum","Chlorogalum pomeridianum","Amole","native","","Perennial herb","Perennial","96","26","59","0","2280","5","8","2003"
"AGAVACEAE","Chlorogalum","pomeridianum","Chlorogalum pomeridianum var. divaricatum","Soap plant","native","","Perennial herb","Perennial","83","38","42","0","640","5","8","2004"
"AGAVACEAE","Chlorogalum","pomeridianum","Chlorogalum pomeridianum var. pomeridianum","Common soaproot","native","","Perennial herb","Perennial","96","28","59","0","2010","5","7","2006"
"OROBANCHACEAE","Chloropyron","maritimum","Chloropyron maritimum","Salt marsh bird's beak","native","","Annual herb","Annual","96","22","72","0","1430","5","10","11501"
"OROBANCHACEAE","Chloropyron","maritimum","Chloropyron maritimum ssp. maritimum","Salt marsh bird's-beak","rare","","Annual herb","Annual","76","44","30","0","50","5","10","11258"
"ASTERACEAE","Chondrilla","juncea","Chondrilla juncea","Skeleton weed","non-native invasive","","Perennial herb","Perennial","96","18","63","0","2120","7","10","2010"
"BRASSICACEAE","Chorispora","tenella","Chorispora tenella","Crossflower","non-native","","Annual herb","Annual","96","16","69","380","2240","4","7","2011"
"POLYGONACEAE","Chorizanthe","angustifolia","Chorizanthe angustifolia","Narrow leaf spineflower","native","","Annual herb","Annual","74","40","34","0","210","4","7","2012"
"POLYGONACEAE","Chorizanthe","blakleyi","Chorizanthe blakleyi","Blakley's spineflower","rare","","Annual herb","Annual","","","","","","4","6","2016"
"POLYGONACEAE","Chorizanthe","clevelandii","Chorizanthe clevelandii","Cleveland's spineflower","native","","Annual herb","Annual","94","26","64","0","2280","5","9","2021"
"POLYGONACEAE","Chorizanthe","cuspidata","Chorizanthe cuspidata","San francisco spineflower","native","","Annual herb","Annual","69","42","25","0","240","4","7","2023"
"POLYGONACEAE","Chorizanthe","diffusa","Chorizanthe diffusa","Diffuse spineflower","native","","Annual herb","Annual","82","38","44","0","770","4","7","2027"
"POLYGONACEAE","Chorizanthe","eastwoodiae","Chorizanthe eastwoodiae","Eastwood's spineflower","native","","Annual herb","Annual","67","44","23","","","4","7","14550"
"POLYGONACEAE","Chorizanthe","membranacea","Chorizanthe membranacea","Pink spineflower","native","","Annual herb","Annual","98","30","62","30","1660","4","6","2034"
"POLYGONACEAE","Chorizanthe","obovata","Chorizanthe obovata","Spoon sepal spineflower","native","","Annual herb","Annual","93","34","59","0","370","5","7","2035"
"POLYGONACEAE","Chorizanthe","palmeri","Chorizanthe palmeri","Palmer's spineflower","rare","","Annual herb","Annual","83","36","44","5","890","4","8","2037"
"POLYGONACEAE","Chorizanthe","polygonoides","Chorizanthe polygonoides","Knotweed spineflower","native","","Annual herb","Annual","97","28","62","0","1360","4","7","2041"
"POLYGONACEAE","Chorizanthe","pungens","Chorizanthe pungens","Monterey spineflower","native","","Annual herb","Annual","82","38","46","0","510","4","7","2045"
"POLYGONACEAE","Chorizanthe","staticoides","Chorizanthe staticoides","Turkish rugging","native","","Annual herb","Annual","94","30","60","0","1820","4","7","2056"
"POLYGONACEAE","Chorizanthe","uniaristata","Chorizanthe uniaristata","One awn spineflower","native","","Annual herb","Annual","96","30","64","80","1860","4","7","2058"
"POLYGONACEAE","Chorizanthe","watsonii","Chorizanthe watsonii","Watson's spineflower","native","","Annual herb","Annual","98","16","72","440","2350","4","8","2061"
"POLYGONACEAE","Chorizanthe","wheeleri","Chorizanthe wheeleri","Wheeler's spineflower","rare","","Annual herb","Annual","79","44","35","","","4","7","2062"
"POLYGONACEAE","Chorizanthe","xanti","Chorizanthe xanti","Xantus' spineflower","native","","Annual herb","Annual","97","26","63","410","2320","4","6","2063"
"POLYGONACEAE","Chorizanthe","xanti","Chorizanthe xanti var. xanti","Xantus' spineflower","native","","Annual herb","Annual","94","30","62","440","2340","4","6","2065"
"GENTIANACEAE","Cicendia","quadrangularis","Cicendia quadrangularis","Common microcalis","native","","Annual herb","Annual","96","32","59","0","680","3","4","2105"
"FABACEAE","Cicer","arietinum","Cicer arietinum","Chick pea","non-native","","Perennial herb","Perennial","","","","","","","","12368"
"ASTERACEAE","Cichorium","intybus","Cichorium intybus","Chicory","non-native","","Perennial herb","Perennial","96","20","65","0","2330","7","8","2107"
"APIACEAE","Cicuta","douglasii","Cicuta douglasii","Western water hemlock","native","Do not eat any part of this plant.","Perennial herb","Perennial","94","16","67","0","2510","5","6","2109"
"APIACEAE","Cicuta","maculata","Cicuta maculata","Water hemlock","native","Do not eat any part of this plant.","Perennial herb","Perennial","90","16","67","0","2190","7","9","8432"
"APIACEAE","Cicuta","maculata","Cicuta maculata var. bolanderi","Saltmarsh water hemlock","rare","Do not eat any part of this plant.","Perennial herb","Perennial","89","38","51","0","20","7","9","2111"
"ASTERACEAE","Cirsium","arvense","Cirsium arvense","Canada thistle","non-native invasive","","Perennial herb","Perennial","94","16","70","0","2660","6","9","2118"
"ASTERACEAE","Cirsium","brevistylum","Cirsium brevistylum","Indian thistle","native","","Perennial herb","Perennial","85","38","44","0","1540","4","7","2119"
"ASTERACEAE","Cirsium","neomexicanum","Cirsium neomexicanum","Desert thistle","native","","Perennial herb","Perennial","96","24","63","830","2170","4","5","2137"
"ASTERACEAE","Cirsium","occidentale","Cirsium occidentale","Western thistle","native","","Perennial herb","Perennial","96","18","63","0","2850","5","7","2139"
"ASTERACEAE","Cirsium","occidentale","Cirsium occidentale var. californicum","California thistle","native","","Perennial herb","Perennial","96","18","62","5","2440","5","7","2140"
"ASTERACEAE","Cirsium","occidentale","Cirsium occidentale var. coulteri","Coulter's thistle","native","","Perennial herb","Perennial","89","26","54","220","2290","5","7","11531"
"ASTERACEAE","Cirsium","occidentale","Cirsium occidentale var. occidentale","Cobweb thistle","native","","Perennial herb","Perennial","93","32","60","0","2180","5","7","2143"
"ASTERACEAE","Cirsium","occidentale","Cirsium occidentale var. venustum","Venus thistle","native","","Perennial herb","Perennial","94","20","62","20","2570","5","7","2144"
"ASTERACEAE","Cirsium","ochrocentrum","Cirsium ochrocentrum","Beaumont thistle","non-native","","Perennial herb","Perennial","82","16","60","10","2320","4","7","2145"
"ASTERACEAE","Cirsium","ochrocentrum","Cirsium ochrocentrum var. ochrocentrum","Yellowspine thistle","non-native","","Perennial herb","Perennial","","","","","","4","7","11532"
"ASTERACEAE","Cirsium","rhothophilum","Cirsium rhothophilum","Surf thistle","rare","","Perennial herb","Perennial","67","44","23","","","4","6","2148"
"ASTERACEAE","Cirsium","scariosum","Cirsium scariosum","Elk thistle","native","","Perennial herb","Perennial","89","12","65","300","3380","5","8","2149"
"ASTERACEAE","Cirsium","scariosum","Cirsium scariosum var. citrinum","Southern meadow thistle","native","","Perennial herb","Perennial","95","38","58","","","5","8","11537"
"ASTERACEAE","Cirsium","scariosum","Cirsium scariosum var. loncholepis","La graciosa thistle","rare","","Perennial herb","Perennial","68","44","25","","","5","8","11255"
"ASTERACEAE","Cirsium","vulgare","Cirsium vulgare","Bullthistle","non-native invasive","","Perennial herb","Perennial","98","14","66","-4","2570","6","9","2151"
"MONTIACEAE","Cistanthe","maritima","Cistanthe maritima","Seaside calandrinia","rare","","Annual herb","Annual","77","44","32","10","190","3","6","11175"
"CISTACEAE","Cistus","incanus","Cistus incanus","Hairy rockrose","non-native","","Shrub","Perennial","91","32","56","5","2000","4","6","9808"
"CISTACEAE","Cistus","ladanifer","Cistus ladanifer","Resinous rockrose","non-native","","Shrub (stem succulent)","Perennial","89","38","50","25","1760","3","7","2153"
"CISTACEAE","Cistus","salviifolius","Cistus salviifolius","Sage leaf rockrose","non-native","","Shrub (stem succulent)","Perennial","85","40","40","5","1340","4","5","2155"
"CUCURBITACEAE","Citrullus","colocynthis","Citrullus colocynthis","Colocynth","non-native","","Annual herb","Annual","93","36","56","","","","","9812"
"CUCURBITACEAE","Citrullus","lanatus","Citrullus lanatus var. citroides","Watermelon","non-native","","Annual herb","Annual","95","36","59","-4","140","5","8","9813"
"CUCURBITACEAE","Citrullus","lanatus","Citrullus lanatus var. lanatus","Watermelon","non-native","","Annual herb","Annual","101","28","64","110","1220","5","8","9814"
"CYPERACEAE","Cladium","californicum","Cladium californicum","Saw grass","rare","","Perennial grass","Perennial","109","26","74","670","1740","6","9","2158"
"LESKEACEAE","Claopodium","whippleanum","Claopodium whippleanum","Whipple's claopodium moss","native","","Moss","Perennial","93","30","57","","","","","12373"
"ONAGRACEAE","Clarkia","affinis","Clarkia affinis","Chaparral fairyfan","native","","Annual herb","Annual","95","32","61","0","1670","4","7","2159"
"ONAGRACEAE","Clarkia","amoena","Clarkia amoena","Farewell to spring","native","","Annual herb","Annual","93","30","61","0","1490","6","8","2160"
"ONAGRACEAE","Clarkia","bottae","Clarkia bottae","Punch bowl godetia","native","","Annual herb","Annual","94","32","58","0","2000","4","6","2173"
"ONAGRACEAE","Clarkia","cylindrica","Clarkia cylindrica","Speckled clarkia","native","","Annual herb","Annual","98","30","62","55","2040","4","7","2179"
"ONAGRACEAE","Clarkia","cylindrica","Clarkia cylindrica ssp. cylindrica","Speckled clarkia","native","","Annual herb","Annual","95","32","61","95","1620","4","7","2181"
"ONAGRACEAE","Clarkia","davyi","Clarkia davyi","Davy's clarkia","native","","Annual herb","Annual","76","42","35","0","230","5","6","2182"
"ONAGRACEAE","Clarkia","dudleyana","Clarkia dudleyana","Dudley's clarkia","native","","Annual herb","Annual","98","28","60","290","2070","5","7","2184"
"ONAGRACEAE","Clarkia","epilobioides","Clarkia epilobioides","Willow herb clarkia","native","","Annual herb","Annual","94","32","61","35","1440","4","5","2185"
"ONAGRACEAE","Clarkia","heterandra","Clarkia heterandra","California gaura","native","","Annual herb","Annual","95","28","61","380","2330","5","7","2193"
"ONAGRACEAE","Clarkia","modesta","Clarkia modesta","Waltham Creek clarkia","native","","Annual herb","Annual","97","30","63","290","2170","4","5","2200"
"ONAGRACEAE","Clarkia","prostrata","Clarkia prostrata","Prostrate clarkia","native","","Annual herb","Annual","65","44","23","5","520","5","7","2205"
"ONAGRACEAE","Clarkia","purpurea","Clarkia purpurea","Purple clarkia","native","","Annual herb","Annual","96","20","63","0","2280","4","7","2206"
"ONAGRACEAE","Clarkia","purpurea","Clarkia purpurea ssp. purpurea","Purple clarkia","native","","Annual herb","Annual","94","32","59","55","1760","4","7","2207"
"ONAGRACEAE","Clarkia","purpurea","Clarkia purpurea ssp. quadrivulnera","Purple clarkia","native","","Annual herb","Annual","96","28","62","0","2040","4","7","2208"
"ONAGRACEAE","Clarkia","purpurea","Clarkia purpurea ssp. viminea","Large godetia","native","","Annual herb","Annual","95","30","60","35","2200","4","7","2209"
"ONAGRACEAE","Clarkia","rhomboidea","Clarkia rhomboidea","Diamond clarkia","native","","Annual herb","Annual","96","18","64","0","2350","4","7","2210"
"ONAGRACEAE","Clarkia","rubicunda","Clarkia rubicunda","Farewell to spring","native","","Annual herb","Annual","89","38","52","0","940","5","8","2212"
"ONAGRACEAE","Clarkia","similis","Clarkia similis","Ramona clarkia","native","","Annual herb","Annual","95","32","62","320","1770","4","6","2213"
"ONAGRACEAE","Clarkia","speciosa","Clarkia speciosa","Red spotted clarkia","native","","Annual herb","Annual","96","30","63","0","1300","5","7","2214"
"ONAGRACEAE","Clarkia","speciosa","Clarkia speciosa ssp. speciosa","Red spot clarkia","native","","Annual herb","Annual","95","30","63","140","980","5","7","2218"
"ONAGRACEAE","Clarkia","unguiculata","Clarkia unguiculata","Woodland clarkia","native","","Annual herb","Annual","96","30","63","0","1980","6","9","2224"
"MONTIACEAE","Claytonia","exigua","Claytonia exigua","Little spring beauty","native","","Annual herb","Annual","96","20","61","10","2280","2","5","2231"
"MONTIACEAE","Claytonia","exigua","Claytonia exigua ssp. exigua","Viridis","native","","Annual herb","Annual","96","20","62","20","1860","2","5","2232"
"MONTIACEAE","Claytonia","exigua","Claytonia exigua ssp. glauca","Blue leaved spring beauty","native","","Annual herb","Annual","95","26","61","120","1130","2","5","2233"
"MONTIACEAE","Claytonia","gypsophiloides","Claytonia gypsophiloides","Gypsum spring beauty","native","","Annual herb","Annual","92","34","59","55","1180","2","4","2234"
"MONTIACEAE","Claytonia","parviflora","Claytonia parviflora","Narrow leaved miner's lettuce","native","","Annual herb","Annual","96","22","63","0","2690","2","5","2240"
"MONTIACEAE","Claytonia","parviflora","Claytonia parviflora ssp. parviflora","Miner'slettuce","native","","Annual herb","Annual","96","26","62","0","2310","3","5","2242"
"MONTIACEAE","Claytonia","parviflora","Claytonia parviflora ssp. viridis","Green miner's lettuce","native","","Annual herb","Annual","95","26","61","5","2530","3","5","2243"
"MONTIACEAE","Claytonia","perfoliata","Claytonia perfoliata","Miner's lettuce","native","","Annual herb","Annual","97","18","62","0","2470","2","5","2244"
"MONTIACEAE","Claytonia","perfoliata","Claytonia perfoliata ssp. mexicana","Southern miner's lettuce","native","","Annual herb","Annual","92","22","61","0","2270","4","5","2245"
"MONTIACEAE","Claytonia","perfoliata","Claytonia perfoliata ssp. perfoliata","Claytonia","native","","Annual herb","Annual","97","22","62","0","2310","4","5","2246"
"MONTIACEAE","Claytonia","rubra","Claytonia rubra","Red stemmed spring beauty","native","","Annual herb","Annual","93","16","63","5","2570","2","4","2247"
"MONTIACEAE","Claytonia","rubra","Claytonia rubra ssp. rubra","Red stemmed miner's lettuce","native","","Annual herb","Annual","91","16","63","690","2680","4","7","2249"
"RANUNCULACEAE","Clematis","lasiantha","Clematis lasiantha","Pipestem","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","96","30","60","0","2030","3","7","2254"
"RANUNCULACEAE","Clematis","ligusticifolia","Clematis ligusticifolia","Creek clematis","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","98","20","66","0","2440","6","8","2255"
"RANUNCULACEAE","Clematis","pauciflora","Clematis pauciflora","Virgin's bower","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb, Vine","Perennial","98","32","59","10","1860","1","6","2256"
"CLEOMACEAE","Cleomella","arborea","Cleomella arborea","Bladderpod","native","","Shrub","Perennial","104","32","67","","","","","14708"
"CLEOMACEAE","Cleomella","arborea","Cleomella arborea var. arborea","","native","","Shrub","Perennial","100","32","68","","","1","12","14711"
"CLEOMACEAE","Cleomella","arborea","Cleomella arborea var. globosa","","native","","Shrub","Perennial","98","34","62","","","10","7","14710"
"LAMIACEAE","Clinopodium","chandleri","Clinopodium chandleri","San miguel savory","rare","","Perennial herb","Perennial","91","38","51","350","1870","3","7","11540"
"LAMIACEAE","Clinopodium","douglasii","Clinopodium douglasii","Yerba buena","native","","Perennial herb","Perennial","90","32","54","0","1130","5","7","11541"
"LAMIACEAE","Clinopodium","mimuloides","Clinopodium mimuloides","Monkeyflower savory","rare","","Perennial herb","Perennial","90","36","54","90","2280","6","10","10482"
"PLANTAGINACEAE","Collinsia","bartsiifolia","Collinsia bartsiifolia","White collinsia","native","","Annual herb","Annual","96","30","63","25","1780","3","6","2271"
"PLANTAGINACEAE","Collinsia","bartsiifolia","Collinsia bartsiifolia var. bartsiifolia","White Chinese houses","native","","Annual herb","Annual","96","34","62","75","1220","3","6","2272"
"PLANTAGINACEAE","Collinsia","bartsiifolia","Collinsia bartsiifolia var. davidsonii","Davidson's collinsia","native","","Annual herb","Annual","95","30","63","160","1530","4","6","2273"
"PLANTAGINACEAE","Collinsia","callosa","Collinsia callosa","Desert collinsia","native","","Annual herb","Annual","97","24","62","820","2340","4","6","2274"
"PLANTAGINACEAE","Collinsia","childii","Collinsia childii","Child's collinsia","native","","Annual herb","Annual","96","24","61","230","2200","5","6","2275"
"PLANTAGINACEAE","Collinsia","heterophylla","Collinsia heterophylla","Chinese houses","native","","Annual herb","Annual","96","30","60","0","2280","2","4","2280"
"PLANTAGINACEAE","Collinsia","heterophylla","Collinsia heterophylla var. heterophylla","Purple chinese houses","native","","Annual herb","Annual","95","32","60","40","1520","2","4","9819"
"PLANTAGINACEAE","Collinsia","sparsiflora","Collinsia sparsiflora","Few flowered collinsia","native","","Annual herb","Annual","96","26","62","0","1850","3","6","2287"
"PLANTAGINACEAE","Collinsia","sparsiflora","Collinsia sparsiflora var. collina","Hillside collinsia","native","","Annual herb","Annual","96","30","61","30","1220","3","6","2290"
"PLANTAGINACEAE","Collinsia","torreyi","Collinsia torreyi","Torrey's collinsia","native","","Annual herb","Annual","89","14","64","430","2860","4","8","2294"
"PLANTAGINACEAE","Collinsia","torreyi","Collinsia torreyi var. wrightii","Wright's collinsia","native","","Annual herb","Annual","83","16","59","1140","2860","4","8","2298"
"POLEMONIACEAE","Collomia","diversifolia","Collomia diversifolia","Serpentine collomia","rare","","Annual herb","Annual","94","30","61","280","1280","5","6","2299"
"POLEMONIACEAE","Collomia","grandiflora","Collomia grandiflora","Large flowered collomia","native","","Annual herb","Annual","94","14","66","300","2650","6","7","2300"
"POLEMONIACEAE","Collomia","tinctoria","Collomia tinctoria","Yellow staining collomia","native","","Annual herb","Annual","89","14","64","930","2640","5","8","2305"
"ERICACEAE","Comarostaphylis","diversifolia","Comarostaphylis diversifolia","Summer holly","native","","Shrub","Perennial","89","38","48","15","860","4","6","2310"
"ERICACEAE","Comarostaphylis","diversifolia","Comarostaphylis diversifolia ssp. diversifolia","California comarostaphylis","rare","","Shrub","Perennial","87","38","49","35","780","4","6","2311"
"ERICACEAE","Comarostaphylis","diversifolia","Comarostaphylis diversifolia ssp. planifolia","Flat leaf summer holly","native","","Shrub","Perennial","86","44","36","50","350","4","6","2312"
"COMMELINACEAE","Commelina","benghalensis","Commelina benghalensis","Dayflower","non-native","","Annual, Perennial herb","Annual","90","42","47","0","1280","5","9","2313"
"AMBLYSTEGIACEAE","Conardia","compacta","Conardia compacta","","native","","Moss","Perennial","90","30","60","","","","","13775"
"AIZOACEAE","Conicosia","pugioniformis","Conicosia pugioniformis","False ice plant","non-native invasive","","Perennial herb","Perennial","73","40","31","0","200","5","10","2315"
"APIACEAE","Conium","maculatum","Conium maculatum","Poison hemlock","non-native invasive","Do not eat any part of this plant.","Perennial herb","Perennial","96","18","63","-4","2180","4","9","2317"
"BRASSICACEAE","Conringia","orientalis","Conringia orientalis","Hare's ear mustard","non-native","","Annual herb","Annual","","","","","","4","8","2318"
"RANUNCULACEAE","Consolida","ajacis","Consolida ajacis","Doubtful knight's spur","non-native","","Annual herb","Annual","88","46","42","","","5","7","9821"
"ASTERACEAE","Constancea","nevinii","Constancea nevinii","Nevin's woolly sunflower","rare","","Shrub","Perennial","80","50","32","-19","260","4","8","8901"
"CONVOLVULACEAE","Convolvulus","arvensis","Convolvulus arvensis","Field bindweed","non-native","Do not eat any part of this plant.","Perennial herb, Vine","Perennial","96","16","63","-11","2780","4","9","2321"
"CONVOLVULACEAE","Convolvulus","simulans","Convolvulus simulans","Small flowered morning glory","rare","","Annual herb","Annual","95","36","60","40","1350","3","7","2322"
"OROBANCHACEAE","Cordylanthus","nevinii","Cordylanthus nevinii","Nevin's bird's beak","native","","Annual herb","Annual","83","22","56","740","2590","7","9","2346"
"OROBANCHACEAE","Cordylanthus","rigidus","Cordylanthus rigidus","Rigid bird's beak","native","","Annual herb (hemiparasitic)","Annual","95","24","60","0","2410","7","8","2356"
"OROBANCHACEAE","Cordylanthus","rigidus","Cordylanthus rigidus ssp. littoralis","Seaside bird's beak","rare","","Annual herb (hemiparasitic)","Annual","73","40","33","0","210","4","10","2358"
"OROBANCHACEAE","Cordylanthus","rigidus","Cordylanthus rigidus ssp. rigidus","Rigid bird's beak","native","","Annual herb (hemiparasitic)","Annual","93","26","60","50","2260","7","8","2359"
"LAXMANNIACEAE","Cordyline","australis","Cordyline australis","Cabbage tree","non-native","","Tree","Perennial","83","42","43","0","650","4","6","9076"
"ASTERACEAE","Coreopsis","grandiflora","Coreopsis grandiflora","Largeflower tickseed","non-native","","Perennial herb","Perennial","","","","","","","","8478"
"ASTERACEAE","Coreopsis","lanceolata","Coreopsis lanceolata","Garden coreopsis","non-native","","Perennial herb","Perennial","96","34","57","120","600","8","9","2375"
"ASTERACEAE","Coreopsis","tinctoria","Coreopsis tinctoria","Calliopsis","non-native","","Annual herb","Annual","93","22","60","10","2110","7","8","2378"
"ASTERACEAE","Corethrogyne","filaginifolia","Corethrogyne filaginifolia","Common sandaster","native","","Perennial herb","Perennial","96","24","61","0","2650","6","10","9825"
"ASTERACEAE","Corethrogyne","filaginifolia","Corethrogyne filaginifolia var. californica","California sandaster","native","","Perennial herb","Perennial","85","30","52","0","230","5","8","9826"
"ASTERACEAE","Corethrogyne","filaginifolia","Corethrogyne filaginifolia var. filaginifolia","Common sandaster","native","","Perennial herb","Perennial","96","30","62","0","2420","5","8","9827"
"ASTERACEAE","Corethrogyne","leucophylla","Corethrogyne leucophylla","Branching beach aster","rare","","Perennial herb","Perennial","78","42","35","5","150","5","12","2382"
"CORNACEAE","Cornus","glabrata","Cornus glabrata","Brown dogwood","native","","Tree, Shrub","Perennial","95","24","61","25","2130","5","6","2386"
"CORNACEAE","Cornus","sericea","Cornus sericea","American dogwood","native","","Shrub","Perennial","94","14","63","0","3030","6","8","2388"
"CORNACEAE","Cornus","sericea","Cornus sericea ssp. occidentalis","Western dogwood","native","","Shrub","Perennial","93","22","62","5","2320","6","8","2389"
"CORNACEAE","Cornus","sericea","Cornus sericea ssp. sericea","Red osier dogwood","native","","Shrub","Perennial","91","14","63","0","2780","3","5","2390"
"POACEAE","Cortaderia","jubata","Cortaderia jubata","Andean pampas grass","non-native invasive","","Perennial grass","Perennial","92","34","55","-4","1990","9","2","2394"
"POACEAE","Cortaderia","selloana","Cortaderia selloana","Pampas grass","non-native invasive","","Perennial grass","Perennial","94","36","56","0","1370","9","3","2395"
"ASTERACEAE","Cosmos","bipinnatus","Cosmos bipinnatus","Garden cosmos","non-native","","Annual herb","Annual","104","38","63","0","2280","4","8","2399"
"ROSACEAE","Cotoneaster","franchetii","Cotoneaster franchetii","Cotoneaster","non-native invasive","Do not eat any part of this plant.","Shrub","Perennial","85","36","46","0","740","5","7","2401"
"ROSACEAE","Cotoneaster","lacteus","Cotoneaster lacteus","Milkflower cotoneaster","non-native invasive","Do not eat any part of this plant.","Shrub","Perennial","85","38","46","0","1260","5","7","8714"
"ROSACEAE","Cotoneaster","pannosus","Cotoneaster pannosus","Woolly cotoneaster","non-native invasive","Do not eat any part of this plant.","Shrub","Perennial","91","36","51","0","1330","5","7","2402"
"ASTERACEAE","Cotula","australis","Cotula australis","Brass buttons","non-native","","Annual herb","Annual","96","36","59","0","1330","1","5","2403"
"ASTERACEAE","Cotula","coronopifolia","Cotula coronopifolia","Brass buttons","non-native invasive","","Perennial herb","Perennial","94","34","59","-2","1190","5","10","2404"
"CRASSULACEAE","Cotyledon","orbiculata","Cotyledon orbiculata","Pig's ear","non-native","","Perennial herb","Perennial","85","42","39","0","270","6","7","9832"
"CRASSULACEAE","Crassula","aquatica","Crassula aquatica","Aquatic pygmy weed","native","","Annual herb","Annual","94","24","61","0","2320","3","6","2406"
"CRASSULACEAE","Crassula","connata","Crassula connata","Sand pygmy weed","native","","Annual herb","Annual","103","32","63","0","2280","2","5","2407"
"CRASSULACEAE","Crassula","ovata","Crassula ovata","Jade plant","non-native","","Shrub","Perennial","88","38","48","0","480","12","2","10821"
"CRASSULACEAE","Crassula","tillaea","Crassula tillaea","Mediterranean pygmy weed","non-native","","Annual herb","Annual","96","32","61","0","1830","2","5","2410"
"AMBLYSTEGIACEAE","Cratoneuron","filicinum","Cratoneuron filicinum","","native","","Moss","Perennial","85","14","58","2610","3170","","","13779"
"ASTERACEAE","Crepis","occidentalis","Crepis occidentalis","Western hawk's beard","native","","Perennial herb","Perennial","90","14","68","1000","3010","5","6","2422"
"ASTERACEAE","Crepis","occidentalis","Crepis occidentalis ssp. pumila","Largeflower hawksbeard","native","","Perennial herb","Perennial","89","20","65","990","2610","5","6","11561"
"ASTERACEAE","Crepis","setosa","Crepis setosa","Rough hawksbeard","non-native","","Annual herb","Annual","","","","","","5","11","2427"
