Family,Genus,Species,Taxon,Common Name,Native Status,effectm partm of this plant.,Lifeform,Duration,July High Temp,Dec Low Temp,Temp Range,Lower Elevation,Upper Elevation,Start Bloom Month,End Bloom Month,Calrecnum,Toxic parts,Toxic part 1,Toxic part 2,Toxic part 3,Toxins,Toxin 1,Toxin 2
FABACEAE,Caesalpinia,spinosa,Caesalpinia spinosa,Spiny holdback,non-native,Do not eat the seed of this plant.,"Tree, Shrub",Perennial,81,46,33,5,450,5,8,1230,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cakile,edentula,Cakile edentula,Sea rocket,non-native,NA,Annual herb,Annual,74,40,29,0,240,5,11,1232,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cakile,maritima,Cakile maritima,Sea rocket,non-native invasive,NA,Annual herb,Annual,80,42,34,-49,350,1,12,1233,NA,NA,NA,NA,NA,NA,NA
POACEAE,Calamagrostis,koelerioides,Calamagrostis koelerioides,Fire reedgrass,native,NA,Perennial grass,Perennial,89,24,50,75,2160,6,8,1240,NA,NA,NA,NA,NA,NA,NA
POACEAE,Calamagrostis,rubescens,Calamagrostis rubescens,Pinegrass,native,NA,Perennial grass,Perennial,85,40,44,0,810,5,6,1245,NA,NA,NA,NA,NA,NA,NA
MONTIACEAE,Calandrinia,breweri,Calandrinia breweri,Brewer's calandrinia,rare,NA,Annual herb,Annual,91,32,58,0,1670,3,6,1249,NA,NA,NA,NA,NA,NA,NA
MONTIACEAE,Calandrinia,menziesii,Calandrinia menziesii,Calandrinia,native,NA,Annual herb,Annual,97,22,63,0,2320,2,5,13205,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Calendula,arvensis,Calendula arvensis,Field marigold,non-native,NA,Annual herb,Annual,89,36,52,0,740,3,4,1252,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Calendula,officinalis,Calendula officinalis,Pot marigold,non-native,NA,Annual herb,Annual,87,36,47,0,1600,3,5,1253,NA,NA,NA,NA,NA,NA,NA
GERANIACEAE,California,macrophylla,California macrophylla,Round leaved filaree,native,NA,Annual herb,Annual,95,32,62,140,1970,3,5,10468,NA,NA,NA,NA,NA,NA,NA
MYRTACEAE,Callistemon,citrinus,Callistemon citrinus,Crimson bottlebrush,non-native,NA,"Tree, Shrub",Perennial,91,38,49,15,300,NA,NA,9294,NA,NA,NA,NA,NA,NA,NA
PLANTAGINACEAE,Callitriche,marginata,Callitriche marginata,Winged water starwort,native,NA,Annual herb (aquatic),Annual,96,30,60,5,2200,2,3,1259,NA,NA,NA,NA,NA,NA,NA
PLANTAGINACEAE,Callitriche,palustris,Callitriche palustris,Vernal water-starwort,native,NA,Annual herb,Annual,90,12,62,45,3570,5,8,11444,NA,NA,NA,NA,NA,NA,NA
PLANTAGINACEAE,Callitriche,stagnalis,Callitriche stagnalis,Pond water starwort,non-native,NA,Annual herb (aquatic),Annual,92,22,56,5,1680,4,6,1260,NA,NA,NA,NA,NA,NA,NA
CUPRESSACEAE,Calocedrus,decurrens,Calocedrus decurrens,Incense cedar,native,NA,Tree,Perennial,95,18,64,0,2590,5,6,1263,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,albus,Calochortus albus,White fairy lantern,native,NA,Perennial herb,Perennial,94,30,59,0,1930,4,5,1264,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,argillosus,Calochortus argillosus,Clay mariposa,native,NA,Perennial herb (bulb),Perennial,90,36,53,20,1000,5,6,1268,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,catalinae,Calochortus catalinae,Catalina mariposa,rare,NA,Perennial herb (bulb),Perennial,90,36,50,10,1910,3,6,1270,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,clavatus,Calochortus clavatus,Club haired mariposa,native,NA,Perennial herb,Perennial,94,28,61,5,2540,5,7,1271,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,clavatus,Calochortus clavatus var. clavatus,Club haired mariposa lily,rare,NA,Perennial herb (bulb),Perennial,91,36,54,0,2480,5,6,1273,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,clavatus,Calochortus clavatus var. pallidus,Pale yellow mariposa,native,NA,Perennial herb,Perennial,95,34,62,260,1820,5,7,1275,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,fimbriatus,Calochortus fimbriatus,Late-flowered mariposa lily,rare,NA,Perennial herb,Perennial,88,32,52,210,2480,6,8,11230,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,invenustus,Calochortus invenustus,Plain mariposa,native,NA,Perennial herb,Perennial,91,10,62,1020,3050,5,8,1284,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,luteus,Calochortus luteus,Yellow mariposa,native,NA,Perennial herb,Perennial,96,34,59,0,910,5,6,1290,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,palmeri,Calochortus palmeri,Strangling mariposa,native,NA,Perennial herb,Perennial,96,28,63,370,2330,5,7,1297,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,palmeri,Calochortus palmeri var. palmeri,Palmer's mariposa lily,rare,NA,Perennial herb (bulb),Perennial,96,28,63,550,2340,4,7,1299,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,simulans,Calochortus simulans,San luis obispo mariposa lily,rare,NA,Perennial herb (bulb),Perennial,95,30,63,320,680,4,6,1305,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,splendens,Calochortus splendens,Splendid mariposa,native,NA,Perennial herb,Perennial,97,24,63,20,2340,4,6,1306,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,superbus,Calochortus superbus,Yellow mariposa,native,NA,Perennial herb,Perennial,96,14,62,110,2690,5,7,1308,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,venustus,Calochortus venustus,Butterfly mariposa lily,native,NA,Perennial herb,Perennial,96,22,62,0,2500,5,6,1313,NA,NA,NA,NA,NA,NA,NA
LILIACEAE,Calochortus,weedii,Calochortus weedii,Weed's mariposa,native,NA,Perennial herb,Perennial,93,34,53,40,1600,5,7,1315,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Calycadenia,villosa,Calycadenia villosa,Dwarf calycadenia,rare,NA,Annual herb,Annual,95,32,63,320,630,5,10,1329,NA,NA,NA,NA,NA,NA,NA
CALYPOGEIACEAE,Calypogeia,azurea,Calypogeia azurea,NA,native,NA,Liverwort,Perennial,NA,NA,NA,NA,NA,NA,NA,14378,NA,NA,NA,NA,NA,NA,NA
MONTIACEAE,Calyptridium,monandrum,Calyptridium monandrum,Common pussypaws,native,NA,Annual herb,Annual,104,16,69,10,2440,1,7,1334,NA,NA,NA,NA,NA,NA,NA
MONTIACEAE,Calyptridium,parryi,Calyptridium parryi,Parry's pussypaws,native,NA,Annual herb,Annual,89,16,69,820,7420,5,8,1336,NA,NA,NA,NA,NA,NA,NA
MONTIACEAE,Calyptridium,parryi,Calyptridium parryi var. parryi,Parry's pussypaws,native,NA,Annual herb,Annual,82,24,54,890,9970,5,8,1339,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,collina,Calystegia collina,Hillside morning glory,native,NA,Perennial herb,Perennial,94,30,64,5,1600,4,6,1347,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,collina,Calystegia collina ssp. venusta,South coast range morning glory,rare,NA,Perennial herb (rhizomatous),Perennial,95,30,64,230,1600,4,6,1351,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia,Island morning glory,native,NA,"Perennial herb, Vine",Perennial,95,34,57,0,2280,2,7,1353,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia ssp. amplissima,Island morning glory,rare,NA,Perennial herb,Perennial,82,46,34,0,350,2,7,1354,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia ssp. cyclostegia,Coast morning glory,native,NA,"Perennial herb, Vine",Perennial,90,36,50,0,840,2,7,1356,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia ssp. intermedia,South coast morning glory,native,NA,"Perennial herb, Vine",Perennial,91,40,48,40,2280,4,7,1357,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia ssp. macrostegia,Island morning glory,native,NA,"Perennial herb, Vine",Perennial,89,44,45,10,310,2,7,1358,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,macrostegia,Calystegia macrostegia ssp. tenuifolia,San diego morning glory,native,NA,"Perennial herb, Vine",Perennial,94,34,60,30,640,2,7,1359,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,malacophylla,Calystegia malacophylla,Morning glory,native,NA,Perennial herb,Perennial,93,20,62,0,2630,7,8,1360,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,malacophylla,Calystegia malacophylla ssp. pedicellata,Jepson's morning glory,native,NA,Perennial herb,Perennial,92,30,60,320,2610,7,8,1364,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,purpurata,Calystegia purpurata,Smooth western morning glory,native,NA,Perennial herb,Perennial,94,34,59,0,1220,4,9,1370,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,purpurata,Calystegia purpurata ssp. purpurata,Smooth western morning glory,native,NA,Perennial herb,Perennial,94,34,59,0,1220,4,9,1371,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,sepium,Calystegia sepium,Western hedge bindweed,native,NA,Perennial herb,Perennial,91,36,54,0,210,4,5,8426,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,sepium,Calystegia sepium ssp. binghamiae,Santa barbara morning glory,rare,NA,Perennial herb (rhizomatous),Perennial,85,40,45,0,260,4,5,1373,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,soldanella,Calystegia soldanella,Beach morning glory,native,NA,Perennial herb,Perennial,79,40,35,0,290,3,6,1375,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,subacaulis,Calystegia subacaulis,Hill morning glory,native,NA,Perennial herb,Perennial,94,34,59,0,700,4,6,1377,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,Calystegia,subacaulis,Calystegia subacaulis ssp. episcopalis,Cambria morning glory,rare,NA,Perennial herb (rhizomatous),Perennial,79,38,42,0,350,4,6,1378,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Camelina,microcarpa,Camelina microcarpa,False flax,non-native,NA,Annual herb,Annual,89,20,64,0,2280,5,7,1383,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissonia,campestris,Camissonia campestris,Field primrose,native,NA,Annual herb,Annual,100,24,69,0,2410,3,5,1400,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissonia,campestris,Camissonia campestris ssp. campestris,Field sun cup,native,NA,Annual herb,Annual,99,24,69,0,2330,3,5,1401,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissonia,campestris,Camissonia campestris ssp. obispoensis,San luis obispo sun cup,native,NA,Annual herb,Annual,95,32,63,300,720,3,5,1402,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissonia,contorta,Camissonia contorta,Contorted sun cup,native,NA,Annual herb,Annual,98,20,65,0,2570,3,6,1420,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissonia,strigulosa,Camissonia strigulosa,Contorted primrose,native,NA,Annual herb,Annual,96,30,63,0,2120,3,5,1453,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,bistorta,Camissoniopsis bistorta,California sun cup,native,NA,Annual herb,Annual,96,32,60,0,2310,3,6,11446,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,cheiranthifolia,Camissoniopsis cheiranthifolia,Beach evening-primrose,native,NA,Perennial herb,Perennial,82,40,39,-3,370,1,8,11447,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,cheiranthifolia,Camissoniopsis cheiranthifolia ssp. cheiranthifolia,Beach evening-primrose,native,NA,"Annual, Perennial herb",Annual,73,42,29,0,90,1,8,11448,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,cheiranthifolia,Camissoniopsis cheiranthifolia ssp. suffruticosa,Shrubby beach primrose,native,NA,Perennial herb,Perennial,76,44,30,0,90,1,8,11449,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,confusa,Camissoniopsis confusa,San bernardino sun cup,native,NA,Annual herb,Annual,99,30,60,650,2340,3,5,11450,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,hirtella,Camissoniopsis hirtella,Hairy sun cup,native,NA,Annual herb,Annual,94,30,63,0,2280,4,6,11453,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,ignota,Camissoniopsis ignota,Jurupa hills sun cup,native,NA,Annual herb,Annual,96,32,62,140,1970,3,8,11454,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,intermedia,Camissoniopsis intermedia,Intermediate sun cups,native,NA,Annual herb,Annual,94,30,60,0,2060,4,5,11455,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,luciae,Camissoniopsis luciae,Santa lucia sun cup,native,NA,Annual herb,Annual,NA,NA,NA,NA,NA,3,5,11457,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,micrantha,Camissoniopsis micrantha,Spencer primrose,native,NA,Annual herb,Annual,95,32,61,0,1970,3,6,11458,NA,NA,NA,NA,NA,NA,NA
ONAGRACEAE,Camissoniopsis,robusta,Camissoniopsis robusta,Robust subcup,native,NA,Annual herb,Annual,90,40,46,10,310,3,8,11462,NA,NA,NA,NA,NA,NA,NA
BIGNONIACEAE,Campsis,radicans,Campsis radicans,Trumpet creeper,non-native,NA,Vine,Perennial,93,38,55,15,160,6,8,8504,NA,NA,NA,NA,NA,NA,NA
DICRANACEAE,Campylopus,introflexus,Campylopus introflexus,NA,native,NA,Moss,Perennial,74,38,32,NA,NA,NA,NA,13758,NA,NA,NA,NA,NA,NA,NA
CANNABACEAE,Cannabis,sativa,Cannabis sativa,Herb,non-native,Do not eat any part of this plant.,Annual herb,Annual,93,32,58,10,1960,6,10,1471,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Capsella,bursa-pastoris,Capsella bursa-pastoris,Shepherd's purse,non-native,NA,Annual herb,Annual,98,12,63,0,2630,1,12,1472,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cardamine,breweri,Cardamine breweri,Brewer's bitter cress,native,NA,Perennial herb,Perennial,86,14,63,420,2840,5,6,1476,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cardamine,californica,Cardamine californica,milkmaids,native,NA,Perennial herb,Perennial,94,26,59,0,2400,2,4,1479,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cardamine,hirsuta,Cardamine hirsuta,Hairy bitter cress,non-native,NA,Annual herb,Annual,95,30,60,0,1700,2,7,1486,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cardamine,oligosperma,Cardamine oligosperma,Idaho bittercress,native,NA,"Annual, Perennial herb",Annual,96,26,59,0,2280,2,3,1493,NA,NA,NA,NA,NA,NA,NA
BRASSICACEAE,Cardamine,parviflora,Cardamine parviflora,Sand bittercress,non-native,NA,Perennial herb,Perennial,90,36,53,NA,NA,NA,NA,12314,NA,NA,NA,NA,NA,NA,NA
CARYOPHYLLACEAE,Cardionema,ramosissimum,Cardionema ramosissimum,Sand mat,native,NA,Perennial herb,Perennial,86,38,41,0,480,4,8,1501,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Carduus,pycnocephalus,Carduus pycnocephalus,Italian thistle,non-native invasive,NA,Annual herb,Annual,98,28,61,-1,2200,2,7,1504,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Carduus,pycnocephalus,Carduus pycnocephalus ssp. pycnocephalus,Italian thistle,non-native,NA,Annual herb,Annual,94,34,57,0,1490,2,6,11464,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Carduus,tenuiflorus,Carduus tenuiflorus,Slender flowered thistle,non-native invasive,NA,Annual herb,Annual,94,32,59,0,1410,4,8,1505,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,alma,Carex alma,Sedge,native,NA,Perennial grass,Perennial,94,26,61,40,2530,NA,NA,1509,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,aquatilis,Carex aquatilis,Water sedge,native,NA,Perennial grass,Perennial,90,10,64,75,4800,6,8,1513,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,aquatilis,Carex aquatilis var. dives,Sitka sedge,native,NA,Perennial grass,Perennial,87,18,63,0,1220,6,8,1515,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,barbarae,Carex barbarae,Valley sedge,native,NA,Perennial grass,Perennial,96,32,59,0,1540,6,8,1520,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,brevicaulis,Carex brevicaulis,Short stem sedge,native,NA,Perennial grass,Perennial,92,36,55,0,500,NA,NA,1523,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,deflexa,Carex deflexa,Mountain mat sedge,native,NA,Perennial grass,Perennial,85,12,64,1420,3810,NA,NA,12139,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,deflexa,Carex deflexa var. boottii,Mountain mat sedge,native,NA,Perennial grass,Perennial,85,12,64,1060,3580,NA,NA,11466,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,densa,Carex densa,Sedge,native,NA,Perennial grass,Perennial,95,20,60,0,2230,NA,NA,1535,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,douglasii,Carex douglasii,Douglas sedge,native,NA,Perennial grass,Perennial,92,10,67,570,3440,5,6,1539,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,fracta,Carex fracta,Fragile sheathed sedge,native,NA,Perennial grass,Perennial,93,14,64,570,2860,NA,NA,1550,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,globosa,Carex globosa,Round fruit sedge,native,NA,Perennial grass,Perennial,90,36,50,0,1810,NA,NA,1554,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,gracilior,Carex gracilior,Slender sedge,native,NA,Perennial grass,Perennial,84,36,50,15,720,NA,NA,1555,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,harfordii,Carex harfordii,Monterey sedge,native,NA,Perennial grass,Perennial,83,38,44,0,830,NA,NA,1558,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,leavenworthii,Carex leavenworthii,Leavenworth's sedge,non-native,NA,Perennial grass,Perennial,NA,NA,NA,NA,NA,NA,NA,1578,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,molesta,Carex molesta,Troublesome sedge,non-native,NA,Perennial grass,Perennial,NA,NA,NA,NA,NA,5,6,1597,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,multicaulis,Carex multicaulis,Forest sedge,native,NA,Perennial grass,Perennial,94,18,64,310,2190,NA,NA,1598,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,nudata,Carex nudata,Torrent sedge,native,NA,Perennial grass,Perennial,96,22,61,15,1790,NA,NA,1605,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,pansa,Carex pansa,Sand dune sedge,native,NA,Perennial grass,Perennial,72,42,31,0,10,NA,NA,1611,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,pellita,Carex pellita,Woolly sedge,native,NA,Perennial grass,Perennial,90,14,64,5,3240,NA,NA,9052,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,praegracilis,Carex praegracilis,Field sedge,native,NA,Perennial grass,Perennial,98,12,67,0,3220,5,6,1616,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,rossii,Carex rossii,Ross' sedge,native,NA,Perennial grass,Perennial,90,10,65,790,3600,4,5,1622,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,schottii,Carex schottii,Schott's sedge,native,NA,Perennial grass,Perennial,95,26,58,370,2480,NA,NA,1625,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,senta,Carex senta,Rough sedge,native,NA,Perennial grass,Perennial,93,18,58,0,2850,NA,NA,1629,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,serratodens,Carex serratodens,Bifid sedge,native,NA,Perennial grass,Perennial,92,28,57,20,1950,NA,NA,1630,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,spissa,Carex spissa,San Diego sedge,native,NA,Perennial grass,Perennial,90,36,52,0,1610,NA,NA,1635,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,subbracteata,Carex subbracteata,Small bract sedge,native,NA,Perennial grass,Perennial,85,36,46,0,820,NA,NA,1638,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,subfusca,Carex subfusca,Brown sedge,native,NA,Perennial grass,Perennial,93,10,64,120,3180,NA,NA,1639,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,texensis,Carex texensis,Texas sedge,non-native,NA,Perennial grass,Perennial,NA,NA,NA,NA,NA,NA,NA,11478,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,triquetra,Carex triquetra,Triangular fruit sedge,native,NA,Perennial grass,Perennial,91,38,52,30,1510,NA,NA,1644,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,tumulicola,Carex tumulicola,Split awn sedge,native,NA,Perennial grass,Perennial,90,34,55,0,1200,4,7,1645,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,Carex,vallicola,Carex vallicola,Valley sedge,rare,NA,Perennial grass,Perennial,76,10,59,2270,3090,7,8,1648,NA,NA,NA,NA,NA,NA,NA
APOCYNACEAE,Carissa,macrocarpa,Carissa macrocarpa,Amatungulu,non-native,NA,"Tree, Shrub",Perennial,84,46,38,0,130,NA,NA,9298,NA,NA,NA,NA,NA,NA,NA
AIZOACEAE,Carpobrotus,chilensis,Carpobrotus chilensis,Sea fig,non-native invasive,NA,Perennial herb,Perennial,84,40,41,0,1040,1,12,1659,NA,NA,NA,NA,NA,NA,NA
AIZOACEAE,Carpobrotus,edulis,Carpobrotus edulis,Iceplant,non-native invasive,NA,Perennial herb,Perennial,90,40,46,-1,600,2,10,1660,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Carthamus,lanatus,Carthamus lanatus,Woolly distaff thistle,non-native invasive,NA,Annual herb,Annual,92,34,56,0,1000,5,9,1662,NA,NA,NA,NA,NA,NA,NA
ASTERACEAE,Carthamus,tinctorius,Carthamus tinctorius,Safflower,non-native,NA,Annual herb,Annual,93,34,57,5,1270,4,7,1664,NA,NA,NA,NA,NA,NA,NA
JUGLANDACEAE,Carya,illinoinensis,Carya illinoinensis,Pecan,non-native,NA,Perennial herb,Perennial,97,36,61,0,1000,4,5,9299,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,affinis,Castilleja affinis,Indian paintbrush,native,NA,Perennial herb,Perennial,94,20,59,0,2470,6,6,1668,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,affinis,Castilleja affinis ssp. affinis,Coast indian paintbrush,native,NA,Perennial herb,Perennial,94,26,59,0,2210,6,6,1669,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,applegatei,Castilleja applegatei,Wavy leaf  paintbrush,native,NA,Perennial herb,Perennial,95,12,64,0,3370,5,6,1677,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,applegatei,Castilleja applegatei ssp. martinii,Martin's paintbrush,native,NA,Perennial herb,Perennial,94,18,60,0,2840,4,6,1679,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,attenuata,Castilleja attenuata,Narrow leaved owl's clover,native,NA,Annual herb,Annual,98,24,61,0,2010,3,5,1683,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,brevistyla,Castilleja brevistyla,Short style owl's clover,native,NA,Annual herb,Annual,98,30,63,60,1240,3,6,1684,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,densiflora,Castilleja densiflora,Dense flower owl's clover,native,NA,Annual herb,Annual,96,30,62,0,1650,3,5,1690,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,densiflora,Castilleja densiflora ssp. densiflora,Dense flower owl's clover,native,NA,Annual herb,Annual,92,30,60,5,1640,3,5,1691,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,densiflora,Castilleja densiflora ssp. gracilis,Graceful owl's clover,native,NA,Annual herb,Annual,93,32,61,100,920,3,5,1692,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,densiflora,Castilleja densiflora ssp. obispoensis,San luis obispo owl's clover,native,NA,Annual herb,Annual,80,38,42,0,310,3,5,1693,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,densiflora,Castilleja densiflora var. obispoensis,San luis obispo owl's-clover,rare,NA,Annual herb,Annual,80,38,42,NA,NA,NA,NA,13028,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,exserta,Castilleja exserta,Owl's clover,native,NA,Annual herb,Annual,97,28,67,0,2610,3,6,1694,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,exserta,Castilleja exserta ssp. exserta,Purple owl's clover,native,NA,Annual herb,Annual,97,28,63,0,2560,3,6,1695,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,exserta,Castilleja exserta ssp. latifolia,Purple owl's clover,native,NA,Annual herb,Annual,73,40,31,0,340,3,6,1696,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,foliolosa,Castilleja foliolosa,Texas paintbrush,native,NA,Perennial herb,Perennial,96,30,61,0,2050,2,6,1698,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,grisea,Castilleja grisea,San clemente island indian paintbrush,rare,NA,Perennial herb (hemiparasitic),Perennial,80,48,30,0,430,2,8,1701,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,hololeuca,Castilleja hololeuca,Island white-felted paintbrush,rare,NA,Perennial herb,Perennial,76,46,30,20,220,2,9,11253,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,latifolia,Castilleja latifolia,Seaside paintbrush,rare,NA,Perennial herb (hemiparasitic),Perennial,79,40,36,0,550,2,9,1707,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,linariifolia,Castilleja linariifolia,Desert paintbursh,native,NA,Perennial herb,Perennial,96,12,70,280,3300,6,9,1709,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,miniata,Castilleja miniata,Great red paintbrush,native,NA,Perennial herb,Perennial,90,12,64,420,3390,6,8,1712,NA,NA,NA,NA,NA,NA,NA
OROBANCHACEAE,Castilleja,miniata,Castilleja miniata ssp. miniata,Scarlet indian paintbrush,native,NA,Perennial herb,Perennial,90,14,63,730,3390,6,8,1714,NA,NA,NA,NA,NA,NA,NA
